dataset,method,crash_point,seed,audit_expected_pass,audit_correct_response,safe_mode_expected,safe_mode_correct_response,leakage_correct_response,recovery_correct_response
LegalBench-RAG,Lethe,crash_after_predicate_update,2,True,True,False,False,True,False
LegalBench-RAG,Lethe,crash_after_overlay_write,3,True,True,False,False,True,False
LegalBench-RAG,Lethe,crash_after_reverse_adjacency_update,4,True,True,False,False,True,False
LegalBench-RAG,Lethe,crash_after_audit_log_append,0,False,True,False,False,True,False
LegalBench-RAG,Lethe,crash_during_overlay_replay,1,True,False,True,True,True,False
LegalBench-RAG,Lethe,crash_during_predicate_replay,2,True,False,True,True,True,False
LegalBench-RAG,Lethe,recovery_missing_overlay,3,True,False,True,True,True,False
LegalBench-RAG,Lethe,recovery_missing_audit_record,4,False,True,True,True,True,True
LegalBench-RAG,Tombstone,crash_after_key_destruction,0,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_predicate_update,1,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_overlay_write,2,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_reverse_adjacency_update,3,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_audit_log_append,4,False,True,False,True,True,True
LegalBench-RAG,Tombstone,crash_during_overlay_replay,0,True,False,True,False,True,False
LegalBench-RAG,Tombstone,crash_during_predicate_replay,1,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_overlay,2,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_audit_record,3,False,True,True,False,True,False
LegalBench-RAG,Tombstone,crash_after_key_destruction,4,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_predicate_update,0,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_overlay_write,1,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_reverse_adjacency_update,2,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_audit_log_append,3,False,True,False,True,True,True
LegalBench-RAG,Tombstone,crash_during_overlay_replay,4,True,False,True,False,True,False
LegalBench-RAG,Tombstone,crash_during_predicate_replay,0,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_overlay,1,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_audit_record,2,False,True,True,False,True,False
LegalBench-RAG,Tombstone,crash_after_key_destruction,3,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_predicate_update,4,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_overlay_write,0,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_reverse_adjacency_update,1,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_audit_log_append,2,False,True,False,True,True,True
LegalBench-RAG,Tombstone,crash_during_overlay_replay,3,True,False,True,False,True,False
LegalBench-RAG,Tombstone,crash_during_predicate_replay,4,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_overlay,0,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_audit_record,1,False,True,True,False,True,False
LegalBench-RAG,Tombstone,crash_after_key_destruction,2,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_predicate_update,3,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_overlay_write,4,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_reverse_adjacency_update,0,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_audit_log_append,1,False,True,False,True,True,True
LegalBench-RAG,Tombstone,crash_during_overlay_replay,2,True,False,True,False,True,False
LegalBench-RAG,Tombstone,crash_during_predicate_replay,3,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_overlay,4,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_audit_record,0,False,True,True,False,True,False
LegalBench-RAG,Tombstone,crash_after_key_destruction,1,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_predicate_update,2,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_overlay_write,3,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_reverse_adjacency_update,4,True,False,False,True,True,False
LegalBench-RAG,Tombstone,crash_after_audit_log_append,0,False,True,False,True,True,True
LegalBench-RAG,Tombstone,crash_during_overlay_replay,1,True,False,True,False,True,False
LegalBench-RAG,Tombstone,crash_during_predicate_replay,2,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_overlay,3,True,False,True,False,True,False
LegalBench-RAG,Tombstone,recovery_missing_audit_record,4,False,True,True,False,True,False
LegalBench-RAG,Physical-delete,crash_after_key_destruction,0,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_predicate_update,1,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_overlay_write,2,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_reverse_adjacency_update,3,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_audit_log_append,4,False,True,False,True,True,True
LegalBench-RAG,Physical-delete,crash_during_overlay_replay,0,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,crash_during_predicate_replay,1,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_overlay,2,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_audit_record,3,False,True,True,False,True,False
LegalBench-RAG,Physical-delete,crash_after_key_destruction,4,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_predicate_update,0,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_overlay_write,1,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_reverse_adjacency_update,2,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_audit_log_append,3,False,True,False,True,True,True
LegalBench-RAG,Physical-delete,crash_during_overlay_replay,4,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,crash_during_predicate_replay,0,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_overlay,1,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_audit_record,2,False,True,True,False,True,False
LegalBench-RAG,Physical-delete,crash_after_key_destruction,3,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_predicate_update,4,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_overlay_write,0,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_reverse_adjacency_update,1,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_audit_log_append,2,False,True,False,True,True,True
LegalBench-RAG,Physical-delete,crash_during_overlay_replay,3,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,crash_during_predicate_replay,4,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_overlay,0,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_audit_record,1,False,True,True,False,True,False
LegalBench-RAG,Physical-delete,crash_after_key_destruction,2,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_predicate_update,3,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_overlay_write,4,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_reverse_adjacency_update,0,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_audit_log_append,1,False,True,False,True,True,True
LegalBench-RAG,Physical-delete,crash_during_overlay_replay,2,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,crash_during_predicate_replay,3,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_overlay,4,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_audit_record,0,False,True,True,False,True,False
LegalBench-RAG,Physical-delete,crash_after_key_destruction,1,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_predicate_update,2,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_overlay_write,3,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_reverse_adjacency_update,4,True,False,False,True,True,False
LegalBench-RAG,Physical-delete,crash_after_audit_log_append,0,False,True,False,True,True,True
LegalBench-RAG,Physical-delete,crash_during_overlay_replay,1,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,crash_during_predicate_replay,2,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_overlay,3,True,False,True,False,True,False
LegalBench-RAG,Physical-delete,recovery_missing_audit_record,4,False,True,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_key_destruction,0,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_predicate_update,1,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_overlay_write,2,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_reverse_adjacency_update,3,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_audit_log_append,4,False,True,False,True,True,True
LegalBench-RAG,Periodic-rebuild,crash_during_overlay_replay,0,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_during_predicate_replay,1,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_overlay,2,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_audit_record,3,False,True,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_key_destruction,4,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_predicate_update,0,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_overlay_write,1,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_reverse_adjacency_update,2,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_audit_log_append,3,False,True,False,True,True,True
LegalBench-RAG,Periodic-rebuild,crash_during_overlay_replay,4,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_during_predicate_replay,0,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_overlay,1,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_audit_record,2,False,True,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_key_destruction,3,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_predicate_update,4,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_overlay_write,0,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_reverse_adjacency_update,1,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_audit_log_append,2,False,True,False,True,True,True
LegalBench-RAG,Periodic-rebuild,crash_during_overlay_replay,3,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_during_predicate_replay,4,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_overlay,0,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_audit_record,1,False,True,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_key_destruction,2,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_predicate_update,3,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_overlay_write,4,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_reverse_adjacency_update,0,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_audit_log_append,1,False,True,False,True,True,True
LegalBench-RAG,Periodic-rebuild,crash_during_overlay_replay,2,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_during_predicate_replay,3,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_overlay,4,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_audit_record,0,False,True,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_key_destruction,1,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_predicate_update,2,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_overlay_write,3,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_reverse_adjacency_update,4,True,False,False,True,True,False
LegalBench-RAG,Periodic-rebuild,crash_after_audit_log_append,0,False,True,False,True,True,True
LegalBench-RAG,Periodic-rebuild,crash_during_overlay_replay,1,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,crash_during_predicate_replay,2,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_overlay,3,True,False,True,False,True,False
LegalBench-RAG,Periodic-rebuild,recovery_missing_audit_record,4,False,True,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_key_destruction,0,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_predicate_update,1,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_overlay_write,2,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_reverse_adjacency_update,3,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_audit_log_append,4,False,False,False,True,True,False
MS-MARCO-RBAC,Lethe,crash_during_overlay_replay,0,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_during_predicate_replay,1,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_overlay,2,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_audit_record,3,False,False,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_key_destruction,4,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_predicate_update,0,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_overlay_write,1,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_reverse_adjacency_update,2,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_audit_log_append,3,False,False,False,True,True,False
MS-MARCO-RBAC,Lethe,crash_during_overlay_replay,4,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_during_predicate_replay,0,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_overlay,1,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_audit_record,2,False,False,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_key_destruction,3,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_predicate_update,4,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_overlay_write,0,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_reverse_adjacency_update,1,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_audit_log_append,2,False,False,False,True,True,False
MS-MARCO-RBAC,Lethe,crash_during_overlay_replay,3,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_during_predicate_replay,4,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_overlay,0,True,True,True,True,True,True
MS-MARCO-RBAC,Lethe,recovery_missing_audit_record,1,False,False,True,True,True,False
MS-MARCO-RBAC,Lethe,crash_after_key_destruction,2,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_predicate_update,3,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_overlay_write,4,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_reverse_adjacency_update,0,True,True,False,True,True,True
MS-MARCO-RBAC,Lethe,crash_after_audit_log_append,1,False,False,False,True,True,False
MS-MARCO-RBAC,Lethe,crash_during_overlay_replay,2,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,crash_during_predicate_replay,3,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_overlay,4,True,True,True,False,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_audit_record,0,False,False,True,True,True,False
MS-MARCO-RBAC,Lethe,crash_after_key_destruction,1,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_predicate_update,2,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_overlay_write,3,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_reverse_adjacency_update,4,True,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_after_audit_log_append,0,False,True,False,False,True,False
MS-MARCO-RBAC,Lethe,crash_during_overlay_replay,1,True,False,True,True,True,False
MS-MARCO-RBAC,Lethe,crash_during_predicate_replay,2,True,False,True,True,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_overlay,3,True,False,True,True,True,False
MS-MARCO-RBAC,Lethe,recovery_missing_audit_record,4,False,True,True,True,True,True
MS-MARCO-RBAC,Tombstone,crash_after_key_destruction,0,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_predicate_update,1,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_overlay_write,2,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_reverse_adjacency_update,3,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_audit_log_append,4,False,True,False,True,True,True
MS-MARCO-RBAC,Tombstone,crash_during_overlay_replay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_during_predicate_replay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_overlay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_audit_record,3,False,True,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_after_key_destruction,4,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_predicate_update,0,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_overlay_write,1,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_reverse_adjacency_update,2,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_audit_log_append,3,False,True,False,True,True,True
MS-MARCO-RBAC,Tombstone,crash_during_overlay_replay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_during_predicate_replay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_overlay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_audit_record,2,False,True,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_after_key_destruction,3,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_predicate_update,4,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_overlay_write,0,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_reverse_adjacency_update,1,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_audit_log_append,2,False,True,False,True,True,True
MS-MARCO-RBAC,Tombstone,crash_during_overlay_replay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_during_predicate_replay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_overlay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_audit_record,1,False,True,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_after_key_destruction,2,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_predicate_update,3,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_overlay_write,4,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_reverse_adjacency_update,0,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_audit_log_append,1,False,True,False,True,True,True
MS-MARCO-RBAC,Tombstone,crash_during_overlay_replay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_during_predicate_replay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_overlay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_audit_record,0,False,True,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_after_key_destruction,1,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_predicate_update,2,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_overlay_write,3,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_reverse_adjacency_update,4,True,False,False,True,True,False
MS-MARCO-RBAC,Tombstone,crash_after_audit_log_append,0,False,True,False,True,True,True
MS-MARCO-RBAC,Tombstone,crash_during_overlay_replay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,crash_during_predicate_replay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_overlay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Tombstone,recovery_missing_audit_record,4,False,True,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_key_destruction,0,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_predicate_update,1,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_overlay_write,2,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_reverse_adjacency_update,3,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_audit_log_append,4,False,True,False,True,True,True
MS-MARCO-RBAC,Physical-delete,crash_during_overlay_replay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_during_predicate_replay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_overlay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_audit_record,3,False,True,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_key_destruction,4,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_predicate_update,0,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_overlay_write,1,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_reverse_adjacency_update,2,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_audit_log_append,3,False,True,False,True,True,True
MS-MARCO-RBAC,Physical-delete,crash_during_overlay_replay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_during_predicate_replay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_overlay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_audit_record,2,False,True,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_key_destruction,3,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_predicate_update,4,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_overlay_write,0,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_reverse_adjacency_update,1,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_audit_log_append,2,False,True,False,True,True,True
MS-MARCO-RBAC,Physical-delete,crash_during_overlay_replay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_during_predicate_replay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_overlay,0,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_audit_record,1,False,True,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_key_destruction,2,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_predicate_update,3,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_overlay_write,4,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_reverse_adjacency_update,0,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_audit_log_append,1,False,True,False,True,True,True
MS-MARCO-RBAC,Physical-delete,crash_during_overlay_replay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_during_predicate_replay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_overlay,4,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_audit_record,0,False,True,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_key_destruction,1,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_predicate_update,2,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_overlay_write,3,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_reverse_adjacency_update,4,True,False,False,True,True,False
MS-MARCO-RBAC,Physical-delete,crash_after_audit_log_append,0,False,True,False,True,True,True
MS-MARCO-RBAC,Physical-delete,crash_during_overlay_replay,1,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,crash_during_predicate_replay,2,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_overlay,3,True,False,True,False,True,False
MS-MARCO-RBAC,Physical-delete,recovery_missing_audit_record,4,False,True,True,False,True,False
