dataset,N,N_indexed,request_type,method,seed,result_leakage,score_frontier_expand_return_leakage,still_authorized_users_can_access_p,key_exists_after_request,bytes_available_to_authorized_execution,snapshot_plaintext_recoverable,snapshot_ciphertext_decryptable,plaintext_copy_found_in_memory_scan,serialized_index_contains_plaintext_vector,cache_log_backup_plaintext_found,audit_key_destruction_event_present,physical_unrecoverability_claim_valid
LegalBench-RAG,1200000,1200000,partial_revocation,Per-role-index,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,partial_revocation,Per-role-index,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,partial_revocation,Per-role-index,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Tombstone,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Tombstone,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Tombstone,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Tombstone,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Tombstone,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Post-filter,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Post-filter,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Post-filter,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Post-filter,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Post-filter,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
LegalBench-RAG,1200000,1200000,global_erasure,Lethe,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Lethe,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Lethe,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Lethe,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Lethe,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Physical-delete,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Physical-delete,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Physical-delete,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Physical-delete,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Physical-delete,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Cryptographic-shred-only,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Cryptographic-shred-only,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Cryptographic-shred-only,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Cryptographic-shred-only,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Cryptographic-shred-only,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Per-role-index,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Per-role-index,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Per-role-index,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Per-role-index,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
LegalBench-RAG,1200000,1200000,global_erasure,Per-role-index,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Tombstone,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Tombstone,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Tombstone,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Tombstone,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Tombstone,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Post-filter,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Post-filter,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Post-filter,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Post-filter,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Post-filter,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Lethe,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Lethe,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Lethe,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Lethe,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Lethe,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Physical-delete,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Physical-delete,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Physical-delete,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Physical-delete,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Physical-delete,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Cryptographic-shred-only,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Cryptographic-shred-only,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Cryptographic-shred-only,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Cryptographic-shred-only,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Cryptographic-shred-only,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Per-role-index,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Per-role-index,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Per-role-index,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Per-role-index,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,partial_revocation,Per-role-index,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Tombstone,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Tombstone,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Tombstone,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Tombstone,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Tombstone,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Post-filter,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Post-filter,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Post-filter,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Post-filter,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Post-filter,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MS-MARCO-RBAC,8000000,8000000,global_erasure,Lethe,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Lethe,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Lethe,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Lethe,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Lethe,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Physical-delete,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Physical-delete,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Physical-delete,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Physical-delete,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Physical-delete,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Cryptographic-shred-only,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Cryptographic-shred-only,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Cryptographic-shred-only,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Cryptographic-shred-only,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Cryptographic-shred-only,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Per-role-index,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Per-role-index,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Per-role-index,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Per-role-index,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MS-MARCO-RBAC,8000000,8000000,global_erasure,Per-role-index,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,partial_revocation,Tombstone,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Tombstone,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Tombstone,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Tombstone,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Tombstone,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Post-filter,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Post-filter,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Post-filter,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Post-filter,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Post-filter,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Lethe,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Lethe,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Lethe,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Lethe,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Lethe,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Physical-delete,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Physical-delete,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Physical-delete,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Physical-delete,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Physical-delete,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Cryptographic-shred-only,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Cryptographic-shred-only,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Cryptographic-shred-only,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Cryptographic-shred-only,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Cryptographic-shred-only,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Per-role-index,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Per-role-index,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Per-role-index,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Per-role-index,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,partial_revocation,Per-role-index,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Tombstone,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Tombstone,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Tombstone,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Tombstone,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Tombstone,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Post-filter,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Post-filter,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Post-filter,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Post-filter,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Post-filter,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
SIFT1M,1000000,1000000,global_erasure,Lethe,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Lethe,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Lethe,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Lethe,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Lethe,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Physical-delete,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Physical-delete,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Physical-delete,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Physical-delete,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Physical-delete,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Cryptographic-shred-only,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Cryptographic-shred-only,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Cryptographic-shred-only,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Cryptographic-shred-only,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Cryptographic-shred-only,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Per-role-index,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Per-role-index,1,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Per-role-index,2,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Per-role-index,3,0.0,0.0,False,False,False,False,False,False,False,False,True,True
SIFT1M,1000000,1000000,global_erasure,Per-role-index,4,0.0,0.0,False,False,False,False,False,False,False,False,True,True
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Tombstone,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Tombstone,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Tombstone,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Tombstone,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Tombstone,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Post-filter,0,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Post-filter,1,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Post-filter,2,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Post-filter,3,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Post-filter,4,0.0,0.08,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Lethe,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Lethe,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Lethe,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Lethe,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Lethe,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Physical-delete,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Physical-delete,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Physical-delete,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Physical-delete,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Physical-delete,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Cryptographic-shred-only,0,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Cryptographic-shred-only,1,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Cryptographic-shred-only,2,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Cryptographic-shred-only,3,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Cryptographic-shred-only,4,0.0,0.0,False,True,False,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Per-role-index,0,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Per-role-index,1,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Per-role-index,2,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Per-role-index,3,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,partial_revocation,Per-role-index,4,0.0,0.0,True,True,True,False,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Tombstone,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Tombstone,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Tombstone,2,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Tombstone,3,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Tombstone,4,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Post-filter,0,0.0,0.08,False,True,False,True,True,False,False,False,False,False
MIMIC-IV-CaseStudy,1800000,1800000,global_erasure,Post-filter,1,0.0,0.08,False,True,False,True,True,False,False,False,False,False
