dataset,method,em,f1,llm,prompt_id,task_subset,generator_model,embedding_model,chunk_size,chunk_overlap,top_k,prompt_template,temperature,decoding,sample_size,unauthorized_context_count,retrieval_recall_at_10,mrr,ndcg
LegalBench-RAG,ACORN,0.385614,0.511774,pinned-open-generator-7b,0,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.923202,0.699521,0.770417
LegalBench-RAG,ACORN,0.391702,0.509776,pinned-open-generator-7b,1,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.91028,0.695553,0.764764
LegalBench-RAG,ACORN,0.377094,0.520095,pinned-open-generator-7b,2,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.924803,0.713406,0.773086
LegalBench-RAG,ACORN,0.400138,0.527588,pinned-open-generator-7b,3,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.926638,0.715128,0.786389
LegalBench-RAG,ACORN,0.38794,0.530388,pinned-open-generator-7b,4,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.934374,0.720779,0.789581
LegalBench-RAG,ACORN,0.377009,0.527771,pinned-open-generator-7b,5,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.935958,0.715181,0.780962
LegalBench-RAG,ACORN,0.385836,0.518174,pinned-open-generator-7b,6,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.91928,0.709508,0.769776
LegalBench-RAG,ACORN,0.389219,0.52561,pinned-open-generator-7b,7,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.939781,0.719,0.785804
LegalBench-RAG,ACORN,0.392598,0.518231,pinned-open-generator-7b,8,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.925027,0.708393,0.771933
LegalBench-RAG,ACORN,0.389943,0.511275,pinned-open-generator-7b,9,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.91259,0.697113,0.768248
LegalBench-RAG,ACORN,0.432568,0.555503,pinned-open-generator-7b,0,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.958642,0.745338,0.809186
LegalBench-RAG,ACORN,0.439481,0.559504,pinned-open-generator-7b,1,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.970268,0.751312,0.813381
LegalBench-RAG,ACORN,0.42244,0.558006,pinned-open-generator-7b,2,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.960848,0.752723,0.81585
LegalBench-RAG,ACORN,0.429624,0.552975,pinned-open-generator-7b,3,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.96017,0.742041,0.809435
LegalBench-RAG,ACORN,0.421182,0.565747,pinned-open-generator-7b,4,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.974767,0.755128,0.828228
LegalBench-RAG,ACORN,0.440052,0.543873,pinned-open-generator-7b,5,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.943973,0.725597,0.801638
LegalBench-RAG,ACORN,0.430298,0.554291,pinned-open-generator-7b,6,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.95597,0.740645,0.802865
LegalBench-RAG,ACORN,0.431932,0.542116,pinned-open-generator-7b,7,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.948032,0.732276,0.79466
LegalBench-RAG,ACORN,0.42573,0.550093,pinned-open-generator-7b,8,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.955176,0.737452,0.804085
LegalBench-RAG,ACORN,0.415812,0.553875,pinned-open-generator-7b,9,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.962078,0.740328,0.798311
LegalBench-RAG,ACORN,0.402956,0.544103,pinned-open-generator-7b,0,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.946547,0.736436,0.796337
LegalBench-RAG,ACORN,0.416471,0.529692,pinned-open-generator-7b,1,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.93596,0.719744,0.788269
LegalBench-RAG,ACORN,0.420009,0.54877,pinned-open-generator-7b,2,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.959062,0.738537,0.803416
LegalBench-RAG,ACORN,0.410592,0.544251,pinned-open-generator-7b,3,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.947716,0.738109,0.803963
LegalBench-RAG,ACORN,0.411234,0.546779,pinned-open-generator-7b,4,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.955238,0.738452,0.799417
LegalBench-RAG,ACORN,0.419177,0.550052,pinned-open-generator-7b,5,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.951339,0.741902,0.804699
LegalBench-RAG,ACORN,0.421164,0.538574,pinned-open-generator-7b,6,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.943096,0.730147,0.789518
LegalBench-RAG,ACORN,0.411116,0.53332,pinned-open-generator-7b,7,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.932925,0.721136,0.78872
LegalBench-RAG,ACORN,0.416267,0.540306,pinned-open-generator-7b,8,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.942733,0.729708,0.79424
LegalBench-RAG,ACORN,0.408789,0.541059,pinned-open-generator-7b,9,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.940741,0.734156,0.802433
LegalBench-RAG,HoneyBee,0.407606,0.541691,pinned-open-generator-7b,0,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.950497,0.732922,0.798775
LegalBench-RAG,HoneyBee,0.413031,0.549841,pinned-open-generator-7b,1,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.953751,0.742663,0.808852
LegalBench-RAG,HoneyBee,0.41032,0.53722,pinned-open-generator-7b,2,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.940966,0.725801,0.797055
LegalBench-RAG,HoneyBee,0.416318,0.541438,pinned-open-generator-7b,3,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.943383,0.730177,0.79725
LegalBench-RAG,HoneyBee,0.405544,0.551674,pinned-open-generator-7b,4,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.963534,0.742331,0.814419
LegalBench-RAG,HoneyBee,0.414994,0.540291,pinned-open-generator-7b,5,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.945591,0.72484,0.794287
LegalBench-RAG,HoneyBee,0.415728,0.542512,pinned-open-generator-7b,6,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.947065,0.730997,0.800075
LegalBench-RAG,HoneyBee,0.410944,0.543215,pinned-open-generator-7b,7,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.950259,0.733689,0.797778
LegalBench-RAG,HoneyBee,0.419498,0.548313,pinned-open-generator-7b,8,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.948581,0.734199,0.802005
LegalBench-RAG,HoneyBee,0.411654,0.554875,pinned-open-generator-7b,9,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.956117,0.741264,0.815044
LegalBench-RAG,HoneyBee,0.392117,0.518353,pinned-open-generator-7b,0,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.929084,0.708483,0.781898
LegalBench-RAG,HoneyBee,0.392882,0.517873,pinned-open-generator-7b,1,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.92698,0.703297,0.771564
LegalBench-RAG,HoneyBee,0.391982,0.518355,pinned-open-generator-7b,2,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.914834,0.707215,0.77349
LegalBench-RAG,HoneyBee,0.399253,0.531642,pinned-open-generator-7b,3,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.93651,0.716035,0.786768
LegalBench-RAG,HoneyBee,0.385397,0.510243,pinned-open-generator-7b,4,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.918762,0.701646,0.766958
LegalBench-RAG,HoneyBee,0.385995,0.517628,pinned-open-generator-7b,5,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.924731,0.711288,0.774598
LegalBench-RAG,HoneyBee,0.385176,0.515328,pinned-open-generator-7b,6,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.918885,0.702556,0.767031
LegalBench-RAG,HoneyBee,0.39372,0.524886,pinned-open-generator-7b,7,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.922335,0.71613,0.775646
LegalBench-RAG,HoneyBee,0.404239,0.529204,pinned-open-generator-7b,8,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.934201,0.718014,0.786167
LegalBench-RAG,HoneyBee,0.395019,0.528424,pinned-open-generator-7b,9,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.931599,0.718794,0.782666
LegalBench-RAG,HoneyBee,0.429243,0.569952,pinned-open-generator-7b,0,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.974336,0.756419,0.822637
LegalBench-RAG,HoneyBee,0.432165,0.561676,pinned-open-generator-7b,1,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.960681,0.753844,0.820131
LegalBench-RAG,HoneyBee,0.432929,0.567631,pinned-open-generator-7b,2,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.965355,0.753889,0.82688
LegalBench-RAG,HoneyBee,0.436245,0.549061,pinned-open-generator-7b,3,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.961004,0.742148,0.804049
LegalBench-RAG,HoneyBee,0.417589,0.561837,pinned-open-generator-7b,4,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.965411,0.75074,0.822764
LegalBench-RAG,HoneyBee,0.427141,0.555919,pinned-open-generator-7b,5,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.95782,0.747314,0.801544
LegalBench-RAG,HoneyBee,0.438074,0.558633,pinned-open-generator-7b,6,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.962798,0.739814,0.810719
LegalBench-RAG,HoneyBee,0.439767,0.561069,pinned-open-generator-7b,7,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.965435,0.749996,0.816133
LegalBench-RAG,HoneyBee,0.438438,0.562766,pinned-open-generator-7b,8,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.96272,0.756631,0.819763
LegalBench-RAG,HoneyBee,0.422142,0.558209,pinned-open-generator-7b,9,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.96514,0.75616,0.810767
LegalBench-RAG,HoneyBee,0.420152,0.55006,pinned-open-generator-7b,0,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.950009,0.741446,0.807411
LegalBench-RAG,HoneyBee,0.420208,0.5394,pinned-open-generator-7b,1,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.939746,0.726237,0.797534
LegalBench-RAG,HoneyBee,0.421439,0.546222,pinned-open-generator-7b,2,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.956363,0.737736,0.801342
LegalBench-RAG,HoneyBee,0.416135,0.544556,pinned-open-generator-7b,3,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.95543,0.731494,0.795275
LegalBench-RAG,HoneyBee,0.414235,0.534654,pinned-open-generator-7b,4,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.940472,0.728896,0.787871
LegalBench-RAG,HoneyBee,0.404645,0.549844,pinned-open-generator-7b,5,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.954389,0.7366,0.805608
LegalBench-RAG,HoneyBee,0.421827,0.554167,pinned-open-generator-7b,6,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.959152,0.752836,0.807365
LegalBench-RAG,HoneyBee,0.408769,0.550695,pinned-open-generator-7b,7,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.949968,0.742302,0.804646
LegalBench-RAG,HoneyBee,0.41655,0.562645,pinned-open-generator-7b,8,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.972561,0.7577,0.816211
LegalBench-RAG,HoneyBee,0.41489,0.534004,pinned-open-generator-7b,9,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.937574,0.732314,0.786542
