dataset,N,N_indexed,method,task_subset,llm,embedding_model,chunk_size,chunk_overlap,top_k,prompt_template,temperature,decoding,prompt_id,sample_size,unauthorized_context_count,retrieval_recall_at_10,mrr,ndcg,f1,em
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Oracle,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.982,0.742,0.812,0.558,0.432
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.9768,0.738,0.808,0.5548,0.428
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,privileged_contracts,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,statute_retrieval,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,2,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,3,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,4,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,5,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,6,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,7,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,8,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,mixed_tiers,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,9,500,0,0.943,0.712,0.782,0.534,0.402
LegalBench-RAG,1200000,1200000,Tombstone,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,0,500,0,0.9326,0.704,0.774,0.5276,0.394
LegalBench-RAG,1200000,1200000,Tombstone,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,1,500,0,0.9326,0.704,0.774,0.5276,0.394
