dataset,N,N_indexed,query_id,method,step,node_id,node_type,is_revoked,access_predicate_checked,distance_scored,frontier_inserted,node_expanded,result_returned,bypass_edge_used,frontier_size_after_step,candidate_score
LegalBench-RAG,1200000,1200000,2,Lethe,4,revoked_bridge_2_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,2,Lethe,5,revoked_bridge_2_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,2,Lethe,6,authorized_2_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,2,Lethe,7,authorized_2_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,2,Lethe,8,authorized_2_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,2,Lethe,9,authorized_2_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,2,Lethe,10,authorized_2_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,2,Lethe,11,authorized_2_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,2,Lethe,12,authorized_2_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,3,Tombstone,1,authorized_3_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,3,Tombstone,2,authorized_3_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,3,Tombstone,3,authorized_3_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,3,Tombstone,4,revoked_bridge_3_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,3,Tombstone,5,revoked_bridge_3_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,3,Tombstone,6,authorized_3_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,3,Tombstone,7,authorized_3_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,3,Tombstone,8,authorized_3_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,3,Tombstone,9,authorized_3_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,3,Tombstone,10,authorized_3_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,3,Tombstone,11,authorized_3_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,3,Tombstone,12,authorized_3_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,3,Lethe,1,authorized_3_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,3,Lethe,2,authorized_3_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,3,Lethe,3,authorized_3_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,3,Lethe,4,revoked_bridge_3_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,3,Lethe,5,revoked_bridge_3_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,3,Lethe,6,authorized_3_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,3,Lethe,7,authorized_3_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,3,Lethe,8,authorized_3_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,3,Lethe,9,authorized_3_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,3,Lethe,10,authorized_3_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,3,Lethe,11,authorized_3_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,3,Lethe,12,authorized_3_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,4,Tombstone,1,authorized_4_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,4,Tombstone,2,authorized_4_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,4,Tombstone,3,authorized_4_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,4,Tombstone,4,revoked_bridge_4_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,4,Tombstone,5,revoked_bridge_4_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,4,Tombstone,6,authorized_4_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,4,Tombstone,7,authorized_4_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,4,Tombstone,8,authorized_4_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,4,Tombstone,9,authorized_4_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,4,Tombstone,10,authorized_4_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,4,Tombstone,11,authorized_4_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,4,Tombstone,12,authorized_4_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,4,Lethe,1,authorized_4_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,4,Lethe,2,authorized_4_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,4,Lethe,3,authorized_4_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,4,Lethe,4,revoked_bridge_4_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,4,Lethe,5,revoked_bridge_4_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,4,Lethe,6,authorized_4_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,4,Lethe,7,authorized_4_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,4,Lethe,8,authorized_4_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,4,Lethe,9,authorized_4_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,4,Lethe,10,authorized_4_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,4,Lethe,11,authorized_4_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,4,Lethe,12,authorized_4_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,5,Tombstone,1,authorized_5_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,5,Tombstone,2,authorized_5_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,5,Tombstone,3,authorized_5_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,5,Tombstone,4,revoked_bridge_5_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,5,Tombstone,5,revoked_bridge_5_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,5,Tombstone,6,authorized_5_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,5,Tombstone,7,authorized_5_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,5,Tombstone,8,authorized_5_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,5,Tombstone,9,authorized_5_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,5,Tombstone,10,authorized_5_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,5,Tombstone,11,authorized_5_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,5,Tombstone,12,authorized_5_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,5,Lethe,1,authorized_5_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,5,Lethe,2,authorized_5_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,5,Lethe,3,authorized_5_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,5,Lethe,4,revoked_bridge_5_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,5,Lethe,5,revoked_bridge_5_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,5,Lethe,6,authorized_5_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,5,Lethe,7,authorized_5_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,5,Lethe,8,authorized_5_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,5,Lethe,9,authorized_5_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,5,Lethe,10,authorized_5_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,5,Lethe,11,authorized_5_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,5,Lethe,12,authorized_5_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,6,Tombstone,1,authorized_6_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,6,Tombstone,2,authorized_6_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,6,Tombstone,3,authorized_6_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,6,Tombstone,4,revoked_bridge_6_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,6,Tombstone,5,revoked_bridge_6_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,6,Tombstone,6,authorized_6_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,6,Tombstone,7,authorized_6_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,6,Tombstone,8,authorized_6_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,6,Tombstone,9,authorized_6_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,6,Tombstone,10,authorized_6_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,6,Tombstone,11,authorized_6_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,6,Tombstone,12,authorized_6_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,6,Lethe,1,authorized_6_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,6,Lethe,2,authorized_6_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,6,Lethe,3,authorized_6_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,6,Lethe,4,revoked_bridge_6_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,6,Lethe,5,revoked_bridge_6_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,6,Lethe,6,authorized_6_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,6,Lethe,7,authorized_6_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,6,Lethe,8,authorized_6_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,6,Lethe,9,authorized_6_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,6,Lethe,10,authorized_6_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,6,Lethe,11,authorized_6_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,6,Lethe,12,authorized_6_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,7,Tombstone,1,authorized_7_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,7,Tombstone,2,authorized_7_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,7,Tombstone,3,authorized_7_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,7,Tombstone,4,revoked_bridge_7_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,7,Tombstone,5,revoked_bridge_7_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,7,Tombstone,6,authorized_7_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,7,Tombstone,7,authorized_7_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,7,Tombstone,8,authorized_7_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,7,Tombstone,9,authorized_7_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,7,Tombstone,10,authorized_7_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,7,Tombstone,11,authorized_7_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,7,Tombstone,12,authorized_7_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,7,Lethe,1,authorized_7_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,7,Lethe,2,authorized_7_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,7,Lethe,3,authorized_7_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,7,Lethe,4,revoked_bridge_7_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,7,Lethe,5,revoked_bridge_7_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,7,Lethe,6,authorized_7_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,7,Lethe,7,authorized_7_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,7,Lethe,8,authorized_7_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,7,Lethe,9,authorized_7_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,7,Lethe,10,authorized_7_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,7,Lethe,11,authorized_7_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,7,Lethe,12,authorized_7_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,8,Tombstone,1,authorized_8_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,8,Tombstone,2,authorized_8_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,8,Tombstone,3,authorized_8_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,8,Tombstone,4,revoked_bridge_8_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,8,Tombstone,5,revoked_bridge_8_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,8,Tombstone,6,authorized_8_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,8,Tombstone,7,authorized_8_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,8,Tombstone,8,authorized_8_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,8,Tombstone,9,authorized_8_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,8,Tombstone,10,authorized_8_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,8,Tombstone,11,authorized_8_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,8,Tombstone,12,authorized_8_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,8,Lethe,1,authorized_8_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,8,Lethe,2,authorized_8_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,8,Lethe,3,authorized_8_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,8,Lethe,4,revoked_bridge_8_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,8,Lethe,5,revoked_bridge_8_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,8,Lethe,6,authorized_8_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,8,Lethe,7,authorized_8_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,8,Lethe,8,authorized_8_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,8,Lethe,9,authorized_8_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,8,Lethe,10,authorized_8_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,8,Lethe,11,authorized_8_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,8,Lethe,12,authorized_8_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,9,Tombstone,1,authorized_9_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,9,Tombstone,2,authorized_9_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,9,Tombstone,3,authorized_9_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,9,Tombstone,4,revoked_bridge_9_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,9,Tombstone,5,revoked_bridge_9_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,9,Tombstone,6,authorized_9_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,9,Tombstone,7,authorized_9_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,9,Tombstone,8,authorized_9_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,9,Tombstone,9,authorized_9_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,9,Tombstone,10,authorized_9_10,authorized,False,False,True,True,False,True,False,30,1.05
